file_name,field_name,position,table_short_name,category,record_count
FDA-CBER-2021-5683-1203436-1203447_27034_S1_M5_bnt162-01-A-adae.csv,STUDYID,1,bnt162-01-A-adae,phase1,501
FDA-CBER-2021-5683-1203436-1203447_27034_S1_M5_bnt162-01-A-adae.csv,USUBJID,2,bnt162-01-A-adae,phase1,501
FDA-CBER-2021-5683-1203436-1203447_27034_S1_M5_bnt162-01-A-adae.csv,SUBJID,3,bnt162-01-A-adae,phase1,501
FDA-CBER-2021-5683-1203436-1203447_27034_S1_M5_bnt162-01-A-adae.csv,SUBJIDN,4,bnt162-01-A-adae,phase1,501
FDA-CBER-2021-5683-1203436-1203447_27034_S1_M5_bnt162-01-A-adae.csv,COHORT,5,bnt162-01-A-adae,phase1,501
FDA-CBER-2021-5683-1203436-1203447_27034_S1_M5_bnt162-01-A-adae.csv,COHORTN,6,bnt162-01-A-adae,phase1,501
FDA-CBER-2021-5683-1203436-1203447_27034_S1_M5_bnt162-01-A-adae.csv,GROUP,7,bnt162-01-A-adae,phase1,501
FDA-CBER-2021-5683-1203436-1203447_27034_S1_M5_bnt162-01-A-adae.csv,GROUPN,8,bnt162-01-A-adae,phase1,501
FDA-CBER-2021-5683-1203436-1203447_27034_S1_M5_bnt162-01-A-adae.csv,TRTP,9,bnt162-01-A-adae,phase1,501
FDA-CBER-2021-5683-1203436-1203447_27034_S1_M5_bnt162-01-A-adae.csv,TRTPN,10,bnt162-01-A-adae,phase1,501
FDA-CBER-2021-5683-1203436-1203447_27034_S1_M5_bnt162-01-A-adae.csv,TRTA,11,bnt162-01-A-adae,phase1,501
FDA-CBER-2021-5683-1203436-1203447_27034_S1_M5_bnt162-01-A-adae.csv,TRTAN,12,bnt162-01-A-adae,phase1,501
FDA-CBER-2021-5683-1203436-1203447_27034_S1_M5_bnt162-01-A-adae.csv,AESEQ,13,bnt162-01-A-adae,phase1,501
FDA-CBER-2021-5683-1203436-1203447_27034_S1_M5_bnt162-01-A-adae.csv,AEGRPID,14,bnt162-01-A-adae,phase1,501
FDA-CBER-2021-5683-1203436-1203447_27034_S1_M5_bnt162-01-A-adae.csv,AESPID,15,bnt162-01-A-adae,phase1,501
FDA-CBER-2021-5683-1203436-1203447_27034_S1_M5_bnt162-01-A-adae.csv,AETERM,16,bnt162-01-A-adae,phase1,501
FDA-CBER-2021-5683-1203436-1203447_27034_S1_M5_bnt162-01-A-adae.csv,AEMODIFY,17,bnt162-01-A-adae,phase1,501
FDA-CBER-2021-5683-1203436-1203447_27034_S1_M5_bnt162-01-A-adae.csv,AELLT,18,bnt162-01-A-adae,phase1,501
FDA-CBER-2021-5683-1203436-1203447_27034_S1_M5_bnt162-01-A-adae.csv,AELLTCD,19,bnt162-01-A-adae,phase1,501
